[i] Train : 117266
[i] Valid : 4952
[i] pred_bboxes_op : Tensor("YOLOv3/concat:0", shape=(?, ?, 85), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_3:0", shape=(?, ?, 85), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
[i] iter : 2850, loss : 97.7703, giou_loss : 50.7140, conf_loss : 9.5782, class_loss : 33.1854, l2_reg_loss : 4.2926, train_time : 13sec
[i] iter : 2900, loss : 89.0222, giou_loss : 44.8427, conf_loss : 8.8612, class_loss : 31.0258, l2_reg_loss : 4.2926, train_time : 13sec
[i] iter : 2950, loss : 95.1273, giou_loss : 48.6341, conf_loss : 9.2982, class_loss : 32.9025, l2_reg_loss : 4.2925, train_time : 14sec
[i] iter : 3000, loss : 92.2962, giou_loss : 46.8389, conf_loss : 8.9655, class_loss : 32.1994, l2_reg_loss : 4.2925, train_time : 13sec
[i] iter : 3050, loss : 87.1331, giou_loss : 44.7221, conf_loss : 8.7194, class_loss : 29.3991, l2_reg_loss : 4.2925, train_time : 13sec
[i] iter : 3100, loss : 85.8559, giou_loss : 43.7574, conf_loss : 8.4984, class_loss : 29.3076, l2_reg_loss : 4.2925, train_time : 13sec
[i] iter : 3150, loss : 87.9147, giou_loss : 46.3721, conf_loss : 8.8840, class_loss : 28.3662, l2_reg_loss : 4.2925, train_time : 13sec
[i] iter : 3200, loss : 100.1249, giou_loss : 55.6892, conf_loss : 10.2858, class_loss : 29.8574, l2_reg_loss : 4.2924, train_time : 13sec
[i] iter : 3250, loss : 94.4639, giou_loss : 52.3892, conf_loss : 9.7410, class_loss : 28.0413, l2_reg_loss : 4.2923, train_time : 13sec
[i] iter : 3300, loss : 73.1901, giou_loss : 36.6494, conf_loss : 7.4509, class_loss : 24.7975, l2_reg_loss : 4.2923, train_time : 13sec
[i] iter : 3350, loss : 92.5296, giou_loss : 51.2249, conf_loss : 9.7983, class_loss : 27.2142, l2_reg_loss : 4.2922, train_time : 13sec
[i] iter : 3400, loss : 93.1699, giou_loss : 52.8786, conf_loss : 9.7352, class_loss : 26.2640, l2_reg_loss : 4.2922, train_time : 13sec
[i] iter : 3450, loss : 74.7456, giou_loss : 37.9430, conf_loss : 7.8119, class_loss : 24.6985, l2_reg_loss : 4.2921, train_time : 14sec
[i] iter : 3500, loss : 85.7619, giou_loss : 46.2450, conf_loss : 9.0971, class_loss : 26.1278, l2_reg_loss : 4.2920, train_time : 14sec
[i] iter : 3550, loss : 85.2676, giou_loss : 47.1077, conf_loss : 9.0157, class_loss : 24.8523, l2_reg_loss : 4.2920, train_time : 13sec
[i] iter : 3600, loss : 83.3487, giou_loss : 46.0743, conf_loss : 8.8228, class_loss : 24.1596, l2_reg_loss : 4.2919, train_time : 13sec
